Pond_Area_m2,Brine_Density_g_cc,Evaporation_Days,Avg_Temperature_C,Climate_Temp_Range_C,Solar_Irradiance_W_m2,Crystallization_Method,Salt_Yield_tons
2185.4,1.165,15.1,24.2,7.9,855.0,Batch,1.368
4778.2,1.208,18.4,20.5,7.2,414.8,Batch,2.438
3794.0,1.209,15.3,23.6,6.1,413.3,Batch,2.396
3194.0,1.217,12.7,31.7,10.8,594.2,Batch,2.467
1202.1,1.225,13.6,28.4,11.2,693.2,Batch,0.689
1202.0,1.248,23.8,37.9,14.4,862.2,Batch,0.884
761.4,1.206,16.2,36.3,13.5,810.0,Batch,0.647
4397.8,1.189,20.9,26.8,11.6,667.5,Batch,3.434
3205.0,1.232,25.1,25.2,9.1,564.2,Continuous,1.626
3686.3,1.184,30.7,27.6,11.9,998.3,Continuous,1.866
592.6,1.2,11.2,31.8,8.6,655.7,Continuous,0.488
4864.6,1.167,34.0,25.4,8.8,670.8,Continuous,2.986
4246.0,1.162,28.8,32.5,13.9,498.2,Continuous,3.14
1455.5,1.247,12.5,28.2,11.6,876.9,Batch,1.053
1318.2,1.235,36.2,31.0,10.6,816.2,Batch,0.972
1325.3,1.223,37.6,28.7,8.6,532.5,Batch,1.434
1869.1,1.197,11.8,25.9,9.8,449.4,Continuous,0.601
2861.4,1.176,18.3,39.0,12.2,808.3,Continuous,2.11
2443.8,1.174,34.2,35.3,12.1,792.7,Batch,1.829
1810.5,1.183,32.4,22.8,6.1,564.0,Continuous,0.497
3253.3,1.209,15.5,37.4,12.6,970.5,Batch,2.547
1127.7,1.224,16.3,29.7,10.0,490.6,Continuous,1.321
1814.7,1.219,21.1,37.9,15.0,659.4,Batch,1.525
2148.6,1.185,24.5,36.0,13.8,966.2,Batch,1.769
2552.3,1.246,28.5,28.5,11.9,651.8,Batch,1.371
4033.3,1.226,21.1,20.4,6.6,783.1,Batch,1.907
1398.5,1.21,23.9,25.4,10.5,638.6,Batch,0.753
2814.1,1.215,32.4,30.8,8.7,564.5,Batch,1.933
3165.9,1.198,11.1,32.7,13.3,990.4,Continuous,2.89
709.0,1.182,17.6,25.2,9.7,645.6,Batch,0.584
3234.0,1.192,31.4,22.8,7.9,936.5,Batch,1.4
1267.4,1.228,36.9,36.7,15.3,538.0,Continuous,1.244
792.7,1.161,25.4,39.7,15.9,527.9,Continuous,0.842
4770.0,1.17,26.0,30.5,10.1,418.7,Batch,3.68
4845.3,1.164,13.2,23.4,7.4,791.0,Batch,3.368
4137.8,1.164,23.4,25.4,11.6,621.1,Batch,1.9
1870.8,1.237,26.0,20.4,5.4,918.6,Batch,0.792
939.5,1.223,17.3,38.3,13.4,683.9,Continuous,0.463
3579.0,1.203,18.1,22.4,7.8,980.9,Batch,1.878
2480.7,1.169,21.3,31.5,11.4,511.3,Batch,1.85
1049.2,1.204,10.6,25.5,11.3,921.2,Continuous,0.966
2728.3,1.203,19.7,31.1,10.2,866.0,Batch,1.886
654.7,1.176,16.3,33.0,15.0,862.6,Batch,0.4
4591.9,1.199,19.8,36.6,15.3,906.9,Batch,3.708
1664.5,1.196,13.6,24.1,7.8,856.6,Continuous,0.721
3481.4,1.215,36.7,20.2,5.7,775.7,Batch,2.869
1902.7,1.217,27.8,22.7,5.4,478.7,Continuous,0.609
2840.3,1.164,30.4,38.0,12.8,419.5,Batch,2.289
2960.2,1.194,33.7,37.5,12.2,952.5,Batch,3.259
1331.8,1.216,25.0,31.9,11.3,770.0,Continuous,1.049
4863.1,1.205,12.6,32.0,13.1,877.9,Continuous,3.493
3988.1,1.237,26.1,33.3,15.9,688.9,Continuous,3.125
4727.7,1.219,27.6,23.5,7.6,470.4,Continuous,2.864
4526.7,1.175,32.4,38.3,13.4,475.1,Continuous,4.453
